Real Energy	Noised Energy	Filtered Energy	Noised Diff	Filtered Diff
265.671	263.014	262.421	1.0%	1.223%
546.044	542.661	541.794	0.62%	0.778%
411.664	412.882	412.121	-0.296%	-0.111%
239.022	244.754	244.163	-2.398%	-2.151%
425.662	430.571	429.195	-1.153%	-0.83%
674.387	670.267	668.487	0.611%	0.875%
371.086	375.545	375.145	-1.202%	-1.094%
705.48	714.438	712.328	-1.27%	-0.971%
668.167	670.649	669.917	-0.372%	-0.262%
368.197	363.569	363.035	1.257%	1.402%
151.212	150.678	150.338	0.353%	0.578%
112.569	119.324	118.83	-6.0%	-5.561%
690.594	688.096	687.086	0.362%	0.508%
680.138	671.298	670.49	1.3%	1.418%
422.67	423.784	423.085	-0.264%	-0.098%
358.436	355.087	354.086	0.934%	1.214%
540.959	540.794	540.078	0.031%	0.163%
271.51	269.55	268.596	0.722%	1.073%
321.44	327.544	326.478	-1.899%	-1.567%
485.341	484.133	483.328	0.249%	0.415%
84.236	88.755	88.476	-5.365%	-5.034%
651.069	658.851	656.591	-1.195%	-0.848%
99.403	96.191	96.045	3.231%	3.379%
614.432	607.198	606.608	1.177%	1.273%
67.639	69.39	69.088	-2.589%	-2.142%
586.006	587.545	586.377	-0.263%	-0.063%
577.23	572.68	572.052	0.788%	0.897%
371.881	377.402	376.026	-1.485%	-1.115%
240.21	242.929	242.589	-1.132%	-0.991%
380.257	378.644	377.954	0.424%	0.606%
716.256	725.49	722.787	-1.289%	-0.912%
357.393	353.107	352.761	1.199%	1.296%
584.319	588.347	587.625	-0.689%	-0.566%
201.141	196.838	196.357	2.139%	2.379%
716.031	723.129	722.279	-0.991%	-0.873%
640.683	633.907	633.247	1.058%	1.161%
211.091	213.461	213.108	-1.123%	-0.955%
115.046	115.473	115.236	-0.371%	-0.165%
212.102	202.549	202.498	4.504%	4.528%
123.725	122.348	121.968	1.113%	1.42%
320.787	319.852	319.573	0.292%	0.379%
215.597	211.982	211.759	1.677%	1.78%
607.911	610.285	608.836	-0.391%	-0.152%
98.652	98.906	98.982	-0.257%	-0.334%
397.187	393.849	393.29	0.841%	0.981%
354.219	352.827	352.154	0.393%	0.583%
380.9	382.912	381.66	-0.528%	-0.199%
